id,streetid,source,layer,name,housenumber,street,city,zipcode,length,lat,lon
"GRB:1138201","61483","GRB","street","Babbelaarstraat","","Babbelaarstraat","Aalst","9300","333.08","50.97863772774036","4.020907108588691"
"GRB:1205190","61484","GRB","street","Baron de Meerstraat","","Baron de Meerstraat","Aalst","9300","156.88","50.94750229295882","4.095652689333828"
"GRB:1138701","61485","GRB","street","Baron Romain Moyersoen Park","","Baron Romain Moyersoen Park","Aalst","9300","296.68","50.93700269332084","4.057061894772827"
"GRB:1217600","61487","GRB","street","Bedrijvigheidstraat","","Bedrijvigheidstraat","Aalst","9300","105.97","50.94071049685057","4.024551931889203"
"GRB:753330","61488","GRB","street","Beekkant","","Beekkant","Aalst","9300","69.64","50.964996550478276","4.0644029030216995"
"GRB:743254","61489","GRB","street","Beekpad","","Beekpad","Aalst","9300","246.23","50.961732056603935","4.036183313467659"
"GRB:1118777","61490","GRB","street","Beekstraat","","Beekstraat","Aalst","9300","318.29","50.943720671801486","4.073210503318618"
"GRB:1236328","61492","GRB","street","Beekveldstraat","","Beekveldstraat","Aalst","9300","115.07","50.93512793076772","4.030242939891427"
"GRB:1195792","61493","GRB","street","Beekweeweg","","Beekweeweg","Aalst","9300","246.75","50.96196062924475","4.062668418155893"
"GRB:1118082","61494","GRB","street","Beekweg","","Beekweg","Aalst","9300","173.76","50.991884770859805","4.044061948249782"
"GRB:742583","61495","GRB","street","Begijnhof","","Begijnhof","Aalst","9300","76.66","50.93639105948565","4.0438819095765375"
"GRB:1155640","61496","GRB","street","Bergekouter","","Bergekouter","Aalst","9300","164.8","50.93992196750784","4.060144429152709"
"GRB:1171349","61497","GRB","street","Bergemeersenstraat","","Bergemeersenstraat","Aalst","9300","159.88","50.94046561623222","4.050713677264006"
"GRB:1110620","61499","GRB","street","Bergstraat","","Bergstraat","Aalst","9300","461.81","50.91514713786413","3.9974329532405237"
"GRB:1229987","61500","GRB","street","Bergweg","","Bergweg","Aalst","9300","250.23","50.95709876196336","4.036332745385504"
"GRB:1206335","61502","GRB","street","Berkenlaan","","Berkenlaan","Aalst","9300","417.19","50.987242943256035","4.059621942087104"
"GRB:1191811","61504","GRB","street","Bertha De Dekenlaan","","Bertha De Dekenlaan","Aalst","9300","259.68","50.91919498410374","4.073892590900069"
"GRB:1126288","61506","GRB","street","Beugemstraat","","Beugemstraat","Aalst","9300","188.07","50.95243259544358","4.093659537738335"
"GRB:1116293","61507","GRB","street","Beukendreef","","Beukendreef","Aalst","9300","244.27","50.93395435287403","4.060851880740747"
"GRB:1188623","61508","GRB","street","Beukenlaan","","Beukenlaan","Aalst","9300","174.09","50.91359103971878","4.0269577002298345"
"GRB:1112759","61509","GRB","street","Bevenhoutenweg","","Bevenhoutenweg","Aalst","9300","213.99","50.949045482697294","4.113414364348547"
"GRB:1193451","61510","GRB","street","Bevrijdingsstraat","","Bevrijdingsstraat","Aalst","9300","121.05","50.94724045996853","4.0462573781840785"
"GRB:1197251","61511","GRB","street","Biekorfstraat","","Biekorfstraat","Aalst","9300","181.38","50.9456880097208","4.020173864653116"
"GRB:1160516","61512","GRB","street","Biesebroekweg","","Biesebroekweg","Aalst","9300","66.13","50.957232243255156","4.087867680512292"
"GRB:1096529","61515","GRB","street","Bieststraat","","Bieststraat","Aalst","9300","309.7","50.96994731089127","4.037457891623498"
"GRB:1118854","61516","GRB","street","Binnenstraat","","Binnenstraat","Aalst","9300","204.26","50.94698401364477","4.051089922733324"
"GRB:1135900","61517","GRB","street","Bisschopweg","","Bisschopweg","Aalst","9300","97.83","50.9409155970065","4.139117729394964"
"GRB:1207718","61518","GRB","street","Bleekveld","","Bleekveld","Aalst","9300","405.16","50.93759727869506","4.049721469582038"
"GRB:1096246","61519","GRB","street","Blektestraat","","Blektestraat","Aalst","9300","426.99","50.95924349056318","4.01862451184945"
"GRB:750826","61521","GRB","street","Blokveldstraat","","Blokveldstraat","Aalst","9300","123.44","50.95577135864912","4.146845712158566"
"GRB:733918","61522","GRB","street","Boekhoutweg","","Boekhoutweg","Aalst","9300","120.29","50.91738884787425","4.088351673612925"
"GRB:1211975","61523","GRB","street","Boekveldbaan","","Boekveldbaan","Aalst","9300","245.53","50.95310102622773","4.099002167350192"
"GRB:1183278","61524","GRB","street","Boekweitstraat","","Boekweitstraat","Aalst","9300","57.12","50.95741533136967","4.067076433053048"
"GRB:1134587","61525","GRB","street","Bolleweg","","Bolleweg","Aalst","9300","151.37","50.943507450793305","4.046727095942212"
"GRB:1114561","61526","GRB","street","Boomgaardstraat","","Boomgaardstraat","Aalst","9300","169.72","50.95249809784764","4.046253430686843"
"GRB:1137341","61528","GRB","street","Boonhofstraat","","Boonhofstraat","Aalst","9300","210.74","50.917288035208294","4.067282829933568"
"GRB:1205749","61529","GRB","street","Borluutstraat","","Borluutstraat","Aalst","9300","90.64","50.94304400951318","4.043050216949291"
"GRB:1135666","61530","GRB","street","Bosselingen","","Bosselingen","Aalst","9300","585.3","50.9666831757359","4.041716857167544"
"GRB:1140157","61531","GRB","street","Bosstraat","","Bosstraat","Aalst","9300","456.47","50.95010756781176","4.151352270375845"
"GRB:1098910","61533","GRB","street","Bosveld","","Bosveld","Aalst","9300","271.02","50.95505231180054","4.058734729593471"
"GRB:1140484","61535","GRB","street","Botermelkstraat","","Botermelkstraat","Aalst","9300","232.9","50.95380329990643","4.0625960786713105"
"GRB:1152236","61536","GRB","street","Boterstraat","","Boterstraat","Aalst","9300","52.22","50.936901512117586","4.036432905230067"
"GRB:1528368","61537","GRB","street","Boudewijnlaan","","Boudewijnlaan","Aalst","9300","541.13","50.94789020489231","4.029285413736272"
"GRB:1203549","61538","GRB","street","Braambesstraat","","Braambesstraat","Aalst","9300","67.33","50.95780016032346","4.063440970732704"
"GRB:1199895","61539","GRB","street","Brakelstraat","","Brakelstraat","Aalst","9300","231.45","50.94565728338408","4.063289537100059"
"GRB:1109935","61542","GRB","street","Bredestraat","","Bredestraat","Aalst","9300","309.59","50.95785561202708","4.050940324911717"
"GRB:1209754","61544","GRB","street","Bredeweg","","Bredeweg","Aalst","9300","295","50.9222979697198","4.012032584310751"
"GRB:1126296","61546","GRB","street","Bremtstraat","","Bremtstraat","Aalst","9300","264.59","50.9167704150884","3.9878194993792033"
"GRB:1122263","61547","GRB","street","Broeder De Zwaeflaan","","Broeder De Zwaeflaan","Aalst","9300","291.69","50.90650137105275","4.030246256392598"
"GRB:1159925","61549","GRB","street","Broekstraat","","Broekstraat","Aalst","9300","310.94","50.96355182108861","4.069736161587834"
"GRB:1172895","61550","GRB","street","Broekveldstraat","","Broekveldstraat","Aalst","9300","259.83","50.92634857876512","3.999332183410415"
"GRB:1207723","61551","GRB","street","Brokenlochtingbaan","","Brokenlochtingbaan","Aalst","9300","393.86","50.96140279576421","4.018746355619757"
"GRB:1166161","61552","GRB","street","Bronlaan","","Bronlaan","Aalst","9300","128.33","50.90757360920745","4.07653492567079"
"GRB:1169400","61554","GRB","street","Brouwerijstraat","","Brouwerijstraat","Aalst","9300","145.43","50.947762568935644","4.042574387707408"
"GRB:1191623","61555","GRB","street","Brugstraat","","Brugstraat","Aalst","9300","113.49","50.91494782288274","4.018603975479282"
"GRB:1146331","61556","GRB","street","Brusselbaan","","Brusselbaan","Aalst","9300","384.12","50.91566967775681","4.086397563642724"
"GRB:1135154","61557","GRB","street","Brusselse steenweg","","Brusselse steenweg","Aalst","9300","315.69","50.93399658534821","4.051286527617942"
"GRB:1133789","61558","GRB","street","Bundelweestraat","","Bundelweestraat","Aalst","9300","244.72","50.98070481949","4.050758587301666"
"GRB:1154400","61559","GRB","street","Burchtstraat","","Burchtstraat","Aalst","9300","261.47","50.93606926407344","4.045432253077052"
"GRB:1109348","61560","GRB","street","Burgemeester De Cocklaan","","Burgemeester De Cocklaan","Aalst","9300","148.22","50.918796239124276","4.055460765787315"
"GRB:1154014","61561","GRB","street","Burgemeestersplein","","Burgemeestersplein","Aalst","9300","71.11","50.93359477202699","4.045503363419729"
"GRB:1179597","61562","GRB","street","Capucienenlaan","","Capucienenlaan","Aalst","9300","273.93","50.93370752611663","4.030046788894038"
"GRB:1142106","61563","GRB","street","Caudronstraat","","Caudronstraat","Aalst","9300","100.36","50.94307051802745","4.03225092290853"
"GRB:1211593","61564","GRB","street","Cesar Haeltermanstraat","","Cesar Haeltermanstraat","Aalst","9300","168.99","50.944468028680525","4.025355191824323"
"GRB:1233157","61565","GRB","street","Churchillsteenweg","","Churchillsteenweg","Aalst","9300","390.7","50.91929005621529","4.037324904049967"
"GRB:734795","61566","GRB","street","Cisweg","","Cisweg","Aalst","9300","63.92","50.939069375019145","4.10261478084045"
"GRB:1229337","61567","GRB","street","Corenteweg","","Corenteweg","Aalst","9300","164.17","50.94135771479703","4.099287223741732"
"GRB:1172922","61568","GRB","street","Cumontstraat","","Cumontstraat","Aalst","9300","79.55","50.94311203402252","4.037161445217741"
"GRB:1130345","61569","GRB","street","Damkouterbaan","","Damkouterbaan","Aalst","9300","319.3","50.982385147013446","4.042710914878858"
"GRB:1115326","61570","GRB","street","Damstraat","","Damstraat","Aalst","9300","260.6","50.91701153428424","4.005376177838722"
"GRB:1117835","61571","GRB","street","De Boomstraat","","De Boomstraat","Aalst","9300","149.28","50.92426390686533","4.069742200965956"
"GRB:1191698","61573","GRB","street","De Gheeststraat","","De Gheeststraat","Aalst","9300","117.57","50.93443054864829","4.045755973755847"
"GRB:1218323","61575","GRB","street","De Naeyerstraat","","De Naeyerstraat","Aalst","9300","101.24","50.95444882136798","4.028998321255151"
"GRB:1186485","61576","GRB","street","De Ridderstraat","","De Ridderstraat","Aalst","9300","157.37","50.93958472137519","4.035970196622609"
"GRB:1156051","61577","GRB","street","De Schrijverstraat","","De Schrijverstraat","Aalst","9300","69.61","50.94327106804967","4.031472603674516"
"GRB:1157710","61578","GRB","street","De Vilanderstraat","","De Vilanderstraat","Aalst","9300","137.86","50.933152022706395","4.047824919205193"
"GRB:1147877","61579","GRB","street","De Visscherestraat","","De Visscherestraat","Aalst","9300","89.75","50.94290731533385","4.0331658735128615"
"GRB:1190777","61580","GRB","street","Dekkersweg","","Dekkersweg","Aalst","9300","148.95","50.9827220008779","4.050942890496335"
"GRB:1110185","61582","GRB","street","Dendermondse steenweg","","Dendermondse steenweg","Aalst","9300","285.29","50.94382649740366","4.034879784641406"
"GRB:1169020","61585","GRB","street","Denderstraat","","Denderstraat","Aalst","9300","183.25","50.943202226220805","4.035826950104938"
"GRB:1135651","61586","GRB","street","Denderweg","","Denderweg","Aalst","9300","367.94","50.978029338447094","4.057378421500583"
"GRB:1167057","61587","GRB","street","Dennenboomstraat","","Dennenboomstraat","Aalst","9300","99.51","50.93274668723224","4.0792404352437925"
"GRB:1156423","61588","GRB","street","Dennenlaan","","Dennenlaan","Aalst","9300","139.21","50.914384067699714","4.03093866555307"
"GRB:1195664","61589","GRB","street","Désiré De Wolfstraat","","Désiré De Wolfstraat","Aalst","9300","218.59","50.932192281162564","4.047461954310433"
"GRB:1205353","61591","GRB","street","Diepestraat","","Diepestraat","Aalst","9300","234.06","50.929095705633614","4.034041272750428"
"GRB:1152506","61592","GRB","street","Dijkstraat","","Dijkstraat","Aalst","9300","119.16","50.96055263409317","4.049956958381536"
"GRB:1150286","61593","GRB","street","Dijkweg","","Dijkweg","Aalst","9300","98.47","50.98814329481787","4.0506629384314055"
"GRB:1129347","61594","GRB","street","Dirk Martensstraat","","Dirk Martensstraat","Aalst","9300","220.25","50.94209050271157","4.033663077484588"
"GRB:1164237","61595","GRB","street","Disgenaatdreef","","Disgenaatdreef","Aalst","9300","348.58","50.98222393961823","4.070617312386659"
"GRB:1108567","61596","GRB","street","Distelstraat","","Distelstraat","Aalst","9300","53.41","50.953478404763175","4.045891564108594"
"GRB:1214352","61597","GRB","street","Doctoorstraat","","Doctoorstraat","Aalst","9300","118.26","50.94145174210484","4.0920007886857075"
"GRB:1141541","61598","GRB","street","Dokter André Goffaertsstraat","","Dokter André Goffaertsstraat","Aalst","9300","253.35","50.92945779582496","4.036774557027948"
"GRB:1118961","61599","GRB","street","Dokter Carlierlaan","","Dokter Carlierlaan","Aalst","9300","233.96","50.91377551257038","4.0606462305153785"
"GRB:1167926","61600","GRB","street","Dokter De Cockstraat","","Dokter De Cockstraat","Aalst","9300","183.54","50.99163540027613","4.042286675597921"
